DATASET	TOKENIZER	NOISE_TYPE	NOISE_LVL	N_SENTS	MIN_TOKS_PER_SENT	MAX_TPS	MEAN_TPS	STD_TPS	MEAN+STD	MEAN+1.5STD	MEAN+2STD	SAMPLE_SENTENCE
../datasets/train_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.95	24626	1.0	369.2	34.545139283683916	22.50350640653328	57.0486456902172	68.30039889348384	79.55215209675048	I ##a ü ##he ##ks ##s [UNK] tu % li sala ##pär ##a ##J ##tel ##t sik ##ute ##l ##t .
../datasets/dev_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	-	-	3128	1.0	163.0	31.23017902813299	20.08511516956272	51.31529419769571	61.35785178247707	71.40040936725843	Ag ##a mulle tun ##du ##b , et ko ##gu maail ##m oot ##a ##b muus ##ika ##maailma ##l ##t mi ##da ##gi er ##uta ##val ##t uut minima ##li ##sm ##i [UNK] .
../datasets/dev_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.15	3128	1.0	165.0	31.84750639386189	20.479063811195026	52.32657020505692	62.56610211065443	72.80563401625194	Ag ##a mulle tun ##du , et ko ##gu maail ##m oot ##a ##b muus ##ika ##maailma ##l ##t mi ##da ##gi er ##uta ##val ##t ut minima ##li ##sm ##i [UNK] .
../datasets/dev_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.35	3128	1.0	169.6	32.679731457800514	20.992593836688478	53.67232529448899	64.16862221283323	74.66491913117747	Ag ##a mulle tun ##du ##b , e ##j ##t ! o ##gu maail oot ##a ##b musika ##maailma ##l ##t [UNK] er ##uta ##val ##t uut minima ##li ##sm ##i [UNK] .
../datasets/dev_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.55	3128	1.0	171.8	33.47225063938619	21.451362392123237	54.923613031509426	65.64929422757105	76.37497542363266	[UNK] Ag ##a mul ##l tun ##ub , et ko ##gu mail ##m oo ##é ##a ##b muus ##ika ##maailma ##l ##t [UNK] er ##uta ##val ##t ] uut minima ##li ##sm ##i [UNK] .
../datasets/dev_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.75	3128	1.0	175.4	34.26227621483376	22.006398830754467	56.268675045588225	67.27187446096546	78.2750738763427	b ##A ##ga mulle t @ n ##du ##b , e ko ##gl ##u maail ##m oot ##a ##Ö ##b muus ##ikaa ##a ##ilma ##l ##t mi ##da ##gi ” er ##tava ##l ##t C ##ut min ##mal ##ismi [UNK] .
../datasets/dev_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.95	3128	1.0	174.6	35.17762148337596	22.501736599160616	57.679358082536574	68.93022638211689	80.18109468169719	Ag mk ##lle tun ##d ##b , et k ##q ##og ##u m ##I ##aa ##ilm oot ##b [UNK] mi ##da ##é ##gi [UNK] ut Y ##ini ##mal ##ismi k > rv ##ale .
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	-	-	15021	1.0	185.0	26.718660541907994	23.50953055094729	50.22819109285528	61.98295636832893	73.73772164380257	nii / sehän / tässä ylis ##e / järven / suv ##ip / pi ##ässä on tut ##a / myll ##y joka on / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.15	15021	1.0	196.4	28.20187737167965	24.880660289918314	53.08253766159797	65.52286780655712	77.96319795151628	nil ##i / sehän / tässä ylis ##e / järven / suv ##ip / pi ##ässä on tut ##a / myll ##y joka on [UNK] / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.35	15021	1.0	210.0	30.14984355236003	26.750579557892458	56.90042311025249	70.27571288919872	83.65100266814494	nii / sehän / tässä ylis ##e / järven / suv ##ip ##k / pi ##ässä on tut / ml ##ly joka oy ##n / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.55	15021	1.0	221.8	32.14126889022036	28.51652555097694	60.6577944411973	74.91605721668577	89.17431999217425	nii / se ##ö ##hän / tässä yl ##se / [UNK] / suv ##ip / pi ##ässä o ##0 tut ##a / myll ##y jo ##k [UNK] o ##4 ##n / rakennettu ##nt . /
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.75	15021	1.0	237.2	34.10715664736036	30.40799215080674	64.5151487981671	79.71914487357049	94.92314094897384	n ##S ##i / se ##hä [UNK] / tässä ylis > e / jär ##ien / suv ##ip _ / pi ##ässä on tut ##å / my ##ly jo ##k / a on / [UNK] . /
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	add_random_noise	0.95	15021	1.0	251.2	36.12238865588177	32.20639076518586	68.32877942106762	84.43197480366055	100.53517018625348	ni / se ##än / tä ##O ##ssä y ##C ##ise / jä ##ven / suv ##ipp ##iä ##ssä 6 ##n ” tut ##a / myll ##U ##y joka o / rakenne ##tt ##na . /
../datasets/train_EDT_UPOS.tsv	bert-base-multilingual-cased	-	-	24626	1.0	316.0	29.859741736376186	19.33059632694903	49.190338063325214	58.85563622679973	68.52093439027425	I ##ga ühe ##ksa ##s kr ##oon tuli sala ##p ##ära ##stel ##t is ##iku ##tel ##t .
../datasets/train_EDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.15	24626	1.0	328.8	31.266531308373267	20.20028169859935	51.466813006972615	61.56695385627229	71.66709470557197	Ia ühe ##ksa ##s kr ##oon tuli sala ##p ##ära ##stel ##t is ##iku ##tel ##t .
../datasets/train_EDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.35	24626	1.0	348.8	33.09939088767969	21.379891919106807	54.4792828067865	65.1692287663399	75.8591747258933	I ##ø ##ga ühe ##ksa ##s kr ##oon tuli sala ##p ##ära ##stel ##t is ##iku ##tje ##lt .
../datasets/train_EDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.55	24626	1.0	371.0	34.96662876634452	22.522029384496363	57.488658150840884	68.74967284308906	80.01068753533724	I ##ga ühe ##ksa ##s ! ro ##on ul ##i sala ##p ##ära ##stel ##t siku ##tel ##t .
../datasets/train_EDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.75	24626	1.0	396.0	36.78692438885731	23.71801490218582	60.50493929104313	72.36394674213605	84.22295419322896	I ##gu he ##ksa ##s kr ##oo ##on tu ##X ##i sala ##p ##ära ##stel ##t is ##iku ##tel ##t .
../datasets/train_EDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.95	24626	1.0	400.0	38.68519450986762	24.810116146249108	63.49531065611673	75.90036872924128	88.30542680236584	ga ühe ##sas kr ##on þ ##uli sala ##pra ##stel ##t is ##iku ##te ##I ##t .
../datasets/dev_EDT_UPOS.tsv	bert-base-multilingual-cased	-	-	3128	1.0	154.0	30.32193094629156	19.322597979849494	49.64452892614105	59.3058279160658	68.96712690599054	Aga mu ##lle tun ##dub , et kogu maa ##ilm o ##ota ##b muu ##sika ##maa ##ilm ##alt mida ##gi eru ##tava ##lt u ##ut minimal ##ism ##i k ##õ ##rval ##e .
../datasets/dev_EDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.15	3128	1.0	158.6	31.736700767263425	20.159972379524174	51.8966731467876	61.97665933654969	72.05664552631177	Aga mu ##lle tun ##dub , et kogu maa ##ilm o ##ota ##b muu ##sika ##maa ##ilm ##alt mida ##bi eru ##tava ##lt u ##ut minimal ##ism ##i k ##õ ##rale .
../datasets/dev_EDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.35	3128	1.0	166.0	33.573657289002554	21.290854551034553	54.86451184003711	65.50993911555437	76.15536639107165	Aga mu ##lle tun ##dub , et kogu ma ##2 ##ail ##m o ##oa ##b muu ##sika ##maa ##ilm ##alt m [ dag ##i eru ##Y ##tava ##lt u ##ut mini ##m ##õ ##lis ##mi k ##õ ##rval ##e .
../datasets/dev_EDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.55	3128	1.8	171.2	35.443861892583115	22.366229008083195	57.81009090066631	68.99320540470791	80.1763199087495	Aga mu ##lle ##D tun ##dub , et kogu ##B maa ##i = m o ##ota ##b muu ##sik ##æ ##amaa ##ilm ##alt @ mida ##gi eru ##tava ##lt u ##u ; minimal ##ism ##i k ##õ ##rval ##ve .
../datasets/dev_EDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.75	3128	1.6	175.8	37.2581841432225	23.529106012458985	60.78729015568149	72.55184316191098	84.31639616814047	A ##g mu ##lle tun ##dub , e ko ##g ? maa ##il + o ##ota ##j ##b muu ##sika ##maa ##il ##2 ##alt mi ##ū ##agi eru ##tava ##l ##P ut minimal ##ism ##3 k ##õ ##rval ##e .
../datasets/dev_EDT_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.95	3128	1.8	185.2	39.14277493606138	24.64093534515137	63.78371028121275	76.10417795378842	88.42464562636411	ga mu ##ll tun ##dub ##Š , e ##J ##t bog ##u maa ##pil ##m o ##ot ##b muu ##sika ##maa ##iq ##lma ##lt Um ##idagi eru ##tava ##l u ##ut km ##ini ##mali ##smi k ##õ ##rv ##Q ##ale .
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	-	-	15021	1.0	221.0	32.33433193529059	28.478141196333965	60.81247313162456	75.05154372979155	89.29061432795852	nii / se ##hän / t ##ässä yli ##se / järv ##en / suv ##ip / pi ##ässä on tu ##ta / my ##lly joka on / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.15	15021	1.0	231.8	33.88350975301245	29.917427142048563	63.800936895061014	78.75965046608529	93.71836403710958	nii / se ##hän / t ##ässä yli ##se / järv ##en / suv ##ip / pi ##ässä on tu ##ta / my ##lly jo " ka n / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.35	15021	1.0	247.6	35.92854004393848	31.84840312617256	67.77694317011104	83.70114473319732	99.6253462962836	ii / se ##hän / t ##ässä yli ##se / järv ##n / ū ##uv ##ip / pi ##ässä on tu ##ta / ml ##ly joka on / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.55	15021	1.0	262.8	38.028946142067774	33.731468444136866	71.76041458620463	88.62614880827307	105.49188303034151	nii / se ##h ##q ##än / t ##ässä y ##lse / j ##ä ##ven / suv ##iu / pi ##ässä o ##Ä ##n t " ta / my ##lly jo , a on / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.75	15021	1.0	278.0	40.05842487184608	35.6792038362785	75.73762870812457	93.57723062626383	111.41683254440306	nii / se ##h ##ä ##Ç / t ##äs ##s ##V yi ##se / järv ##en / su ##ū ##vi ##p / pi ##ässä v ##n tu ##U ##ta / my ' ll ##y à ##oka o ##7 / rakennettu ##na . /
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	add_random_noise	0.95	15021	1.0	290.8	42.17361027894282	37.561761616313845	79.73537189525666	98.51625270341358	117.29713351157051	ni ##fi / s ##õ ##hän / t ##äs ##s yli ##D ##e / j ##ä ##ær ##ven / suv ##ip / pi ##ässä o ##on tu ##t / my ##ly jo ##k ##Q o ##Z / rak ##enne ##tuna . /
../datasets/train_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	12217	1.0	346.0	18.69959891953835	14.053679081362317	32.753278000900664	39.780117541581824	46.80695708226298
../datasets/dev_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	1364	1.0	251.0	18.65982404692082	14.42546213264246	33.08528617956328	40.29801724588451	47.51074831220574
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	15021	1.0	185.0	26.718660541907994	23.50953055094729	50.22819109285528	61.98295636832893	73.73772164380257
../datasets/train_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	24626	1.0	317.0	30.675140095833672	20.06383575259398	50.73897584842766	60.770893724724644	70.80281160102163
../datasets/dev_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	3128	1.0	163.0	31.23017902813299	20.08511516956272	51.31529419769571	61.35785178247707	71.40040936725843
../datasets/train_TDT_UPOS.tsv	bert-base-multilingual-cased	12217	1.0	545.0	29.956945240239012	22.675812348815082	52.632757589054094	63.97066376346163	75.30856993786918
../datasets/dev_TDT_UPOS.tsv	bert-base-multilingual-cased	1364	2.0	461.0	29.831378299120235	24.073768852854002	53.905147151974234	65.94203157840124	77.97891600482824
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	15021	1.0	221.0	32.33433193529059	28.478141196333965	60.81247313162456	75.05154372979155	89.29061432795852
../datasets/train_EDT_UPOS.tsv	bert-base-multilingual-cased	24626	1.0	316.0	29.859741736376186	19.33059632694903	49.190338063325214	58.85563622679973	68.52093439027425
../datasets/dev_EDT_UPOS.tsv	bert-base-multilingual-cased	3128	1.0	154.0	30.32193094629156	19.322597979849494	49.64452892614105	59.3058279160658	68.96712690599054
../datasets/train_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	12217	1.0	346.0	18.69959891953835	14.053679081362317	32.753278000900664	39.780117541581824	46.80695708226298
../datasets/dev_TDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	1364	1.0	251.0	18.65982404692082	14.42546213264246	33.08528617956328	40.29801724588451	47.51074831220574
../datasets/dev_murre-SAV_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	15021	1.0	185.0	26.718660541907994	23.50953055094729	50.22819109285528	61.98295636832893	73.73772164380257
../datasets/train_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	24626	1.0	317.0	30.675140095833672	20.06383575259398	50.73897584842766	60.770893724724644	70.80281160102163
../datasets/dev_EDT_UPOS.tsv	TurkuNLP/bert-base-finnish-cased-v1	3128	1.0	163.0	31.23017902813299	20.08511516956272	51.31529419769571	61.35785178247707	71.40040936725843
../datasets/train_TDT_UPOS.tsv	bert-base-multilingual-cased	12217	1.0	545.0	29.956945240239012	22.675812348815082	52.632757589054094	63.97066376346163	75.30856993786918
../datasets/dev_TDT_UPOS.tsv	bert-base-multilingual-cased	1364	2.0	461.0	29.831378299120235	24.073768852854002	53.905147151974234	65.94203157840124	77.97891600482824
../datasets/dev_murre-SAV_UPOS.tsv	bert-base-multilingual-cased	15021	1.0	221.0	32.33433193529059	28.478141196333965	60.81247313162456	75.05154372979155	89.29061432795852
../datasets/train_EDT_UPOS.tsv	bert-base-multilingual-cased	24626	1.0	316.0	29.859741736376186	19.33059632694903	49.190338063325214	58.85563622679973	68.52093439027425
../datasets/dev_EDT_UPOS.tsv	bert-base-multilingual-cased	3128	1.0	154.0	30.32193094629156	19.322597979849494	49.64452892614105	59.3058279160658	68.96712690599054
../datasets/train_TDT_UPOS.tsv	xlm-roberta-base	12217	1.0	469.0	26.04485552918065	18.9892147656047	45.03407029478535	54.5286776775877	64.02328506039005
../datasets/dev_TDT_UPOS.tsv	xlm-roberta-base	1364	1.0	363.0	25.954545454545453	20.04096211820432	45.99550757274977	56.01598863185193	66.03646969095409
../datasets/dev_murre-SAV_UPOS.tsv	xlm-roberta-base	15021	1.0	210.0	30.025031622395314	25.54709227513245	55.57212389752776	68.34567003509399	81.11921617266022
../datasets/train_EDT_UPOS.tsv	xlm-roberta-base	24626	1.0	308.0	25.952123771623487	16.565021129947354	42.517144901570845	50.79965546654452	59.0821660315182
